Date,State,Confirmed,Recovered,Deceased
2020-04-26,Assam,36,35,1
2020-04-26,Chandigarh,36,17,0
2020-04-26,Delhi,3211,885,54
2020-04-26,Maharashtra,50,22,5
2020-04-26,Rajasthan,1177,276,26
2020-04-26,Telangana,1012,325,25
2020-04-27,Andaman and Nicobar Islands,33,11,0
2020-04-27,Andhra Pradesh,1177,235,31
2020-04-27,Arunachal Pradesh,1,1,0
2020-04-27,Assam,36,35,1
2020-04-27,Bihar,353,56,2
2020-04-27,Chandigarh,45,17,0
2020-04-27,Chhattisgarh,37,32,0
2020-04-27,Delhi,3401,885,54
2020-04-27,Goa,7,7,0
2020-04-27,Gujarat,3548,394,162
2020-04-27,Haryana,302,206,3
2020-04-27,Himachal Pradesh,40,25,2
2020-04-27,Jammu and Kashmir,547,164,7
2020-04-27,Jharkhand,104,17,3
2020-04-27,Karnataka,512,193,20
2020-04-27,Kerala,482,355,4
2020-04-27,Ladakh,20,16,0
2020-04-27,Madhya Pradesh,2166,357,110
2020-04-27,Maharashtra,8591,1282,369
2020-04-27,Manipur,2,2,0
2020-04-27,Meghalaya,12,0,1
2020-04-27,Mizoram,1,0,0
2020-04-27,Odisha,119,37,1
2020-04-27,Puducherry,8,5,0
2020-04-27,Punjab,335,98,19
2020-04-27,Rajasthan,2262,742,48
2020-04-27,Tamil Nadu,1937,1074,24
2020-04-27,Telangana,1014,341,25
2020-04-27,Tripura,2,2,0
2020-04-27,Uttar Pradesh,1988,399,31
2020-04-27,Uttarakhand,51,26,0
2020-04-27,West Bengal,649,105,20
2020-04-28,Andaman and Nicobar Islands,33,15,0
2020-04-28,Andhra Pradesh,1259,258,31
2020-04-28,Arunachal Pradesh,1,1,0
2020-04-28,Assam,38,35,1
2020-04-28,Bihar,376,64,2
2020-04-28,Chandigarh,56,17,0
2020-04-28,Chhattisgarh,39,34,0
2020-04-28,Delhi,3607,1086,54
2020-04-28,Goa,7,7,0
2020-04-28,Gujarat,3774,434,181
2020-04-28,Haryana,309,217,3
2020-04-28,Himachal Pradesh,40,25,2
2020-04-28,Jammu and Kashmir,566,176,8
2020-04-28,Jharkhand,106,19,3
2020-04-28,Karnataka,523,207,20
2020-04-28,Kerala,486,359,4
2020-04-28,Ladakh,22,16,0
2020-04-28,Madhya Pradesh,2394,373,121
2020-04-28,Maharashtra,9319,1388,400
2020-04-28,Manipur,2,2,0
2020-04-28,Meghalaya,12,0,1
2020-04-28,Mizoram,1,0,0
2020-04-28,Odisha,119,38,1
2020-04-28,Puducherry,8,5,0
2020-04-28,Punjab,347,101,19
2020-04-28,Rajasthan,2364,768,50
2020-04-28,Tamil Nadu,2058,1128,25
2020-04-28,Telangana,1020,383,25
2020-04-28,Tripura,2,2,0
2020-04-28,Uttar Pradesh,2055,462,34
2020-04-28,Uttarakhand,54,26,0
2020-04-28,West Bengal,697,109,22
2020-04-29,Andaman and Nicobar Islands,33,15,0
2020-04-29,Andhra Pradesh,1332,287,31
2020-04-29,Arunachal Pradesh,1,1,0
2020-04-29,Assam,38,37,1
2020-04-29,Bihar,418,64,2
2020-04-29,Chandigarh,68,17,0
2020-04-29,Chhattisgarh,39,34,0
2020-04-29,Delhi,3732,1100,56
2020-04-29,Goa,7,7,0
2020-04-29,Gujarat,4082,527,197
2020-04-29,Haryana,312,218,3
2020-04-29,Himachal Pradesh,40,25,2
2020-04-29,Jammu and Kashmir,582,192,8
2020-04-29,Jharkhand,108,19,3
2020-04-29,Karnataka,535,216,21
2020-04-29,Kerala,496,369,4
2020-04-29,Ladakh,22,17,0
2020-04-29,Madhya Pradesh,2567,461,131
2020-04-29,Maharashtra,9916,1593,432
2020-04-29,Manipur,2,2,0
2020-04-29,Meghalaya,12,0,1
2020-04-29,Mizoram,1,0,0
2020-04-29,Odisha,129,39,1
2020-04-29,Puducherry,8,5,0
2020-04-29,Punjab,382,101,19
2020-04-29,Rajasthan,2440,814,55
2020-04-29,Tamil Nadu,2162,1210,27
2020-04-29,Telangana,1027,418,25
2020-04-29,Tripura,2,2,0
2020-04-29,Uttar Pradesh,2136,510,39
2020-04-29,Uttarakhand,55,28,0
2020-04-29,West Bengal,725,119,22
2020-04-30,Andaman and Nicobar Islands,33,16,0
2020-04-30,Andhra Pradesh,1403,321,31
2020-04-30,Arunachal Pradesh,1,1,0
2020-04-30,Assam,43,37,1
2020-04-30,Bihar,440,84,2
2020-04-30,Chandigarh,74,18,0
2020-04-30,Chhattisgarh,41,36,0
2020-04-30,Delhi,3808,1102,59
2020-04-30,Goa,7,7,0
2020-04-30,Gujarat,4395,613,214
2020-04-30,Haryana,340,228,4
2020-04-30,Himachal Pradesh,40,28,2
2020-04-30,Jammu and Kashmir,615,216,8
2020-04-30,Jharkhand,111,19,3
2020-04-30,Karnataka,565,229,22
2020-04-30,Kerala,498,383,4
2020-04-30,Ladakh,22,17,0
2020-04-30,Madhya Pradesh,2632,482,138
2020-04-30,Maharashtra,10499,1773,459
2020-04-30,Manipur,2,2,0
2020-04-30,Meghalaya,12,0,1
2020-04-30,Mizoram,1,0,0
2020-04-30,Odisha,147,41,1
2020-04-30,Puducherry,8,5,0
2020-04-30,Punjab,487,104,20
2020-04-30,Rajasthan,2585,893,58
2020-04-30,Tamil Nadu,2323,1258,27
2020-04-30,Telangana,1049,451,28
2020-04-30,Tripura,3,2,0
2020-04-30,Uttar Pradesh,2214,551,40
2020-04-30,Uttarakhand,57,36,0
2020-04-30,West Bengal,758,124,33
2020-05-01,Andaman and Nicobar Islands,33,16,0
2020-05-01,Andhra Pradesh,1463,403,33
2020-05-01,Arunachal Pradesh,1,1,0
2020-05-01,Assam,43,41,1
2020-05-01,Bihar,483,98,3
2020-05-01,Chandigarh,88,18,0
2020-05-01,Chhattisgarh,44,36,0
2020-05-01,Delhi,4031,1175,61
2020-05-01,Goa,7,7,0
2020-05-01,Gujarat,4721,736,236
2020-05-01,Haryana,358,234,4
2020-05-01,Himachal Pradesh,40,30,2
2020-05-01,Jammu and Kashmir,640,247,8
2020-05-01,Jharkhand,115,21,3
2020-05-01,Karnataka,589,251,22
2020-05-01,Kerala,498,392,4
2020-05-01,Ladakh,22,17,0
2020-05-01,Madhya Pradesh,2724,524,146
2020-05-01,Maharashtra,11507,1879,485
2020-05-01,Manipur,2,2,0
2020-05-01,Meghalaya,12,10,1
2020-05-01,Mizoram,1,0,0
2020-05-01,Odisha,160,55,1
2020-05-01,Puducherry,8,5,0
2020-05-01,Punjab,596,108,20
2020-05-01,Rajasthan,2667,1116,62
2020-05-01,Tamil Nadu,2526,1312,28
2020-05-01,Telangana,1055,473,28
2020-05-01,Tripura,3,2,0
2020-05-01,Uttar Pradesh,2334,654,42
2020-05-01,Uttarakhand,57,37,1
2020-05-01,West Bengal,795,139,41
2020-05-02,Andaman and Nicobar Islands,33,26,0
2020-05-02,Andhra Pradesh,1525,441,33
2020-05-02,Arunachal Pradesh,1,1,0
2020-05-02,Assam,43,41,1
2020-05-02,Bihar,498,117,4
2020-05-02,Chandigarh,94,19,0
2020-05-02,Chhattisgarh,44,36,0
2020-05-02,Delhi,4415,1264,64
2020-05-02,Goa,7,7,0
2020-05-02,Gujarat,5054,896,262
2020-05-02,Haryana,377,235,5
2020-05-02,Himachal Pradesh,40,33,2
2020-05-02,Jammu and Kashmir,667,254,8
2020-05-02,Jharkhand,117,22,3
2020-05-02,Karnataka,601,271,25
2020-05-02,Kerala,500,400,4
2020-05-02,Ladakh,23,17,0
2020-05-02,Madhya Pradesh,2798,624,152
2020-05-02,Maharashtra,12297,2000,521
2020-05-02,Manipur,2,2,0
2020-05-02,Meghalaya,12,10,1
2020-05-02,Mizoram,1,0,0
2020-05-02,Odisha,168,56,1
2020-05-02,Puducherry,9,5,0
2020-05-02,Punjab,783,112,20
2020-05-02,Rajasthan,2773,1242,68
2020-05-02,Tamil Nadu,2757,1341,29
2020-05-02,Telangana,1072,508,29
2020-05-02,Tripura,7,2,0
2020-05-02,Uttar Pradesh,2495,698,43
2020-05-02,Uttarakhand,59,39,1
2020-05-02,West Bengal,922,151,48
2020-05-03,Andaman and Nicobar Islands,33,32,0
2020-05-03,Andhra Pradesh,1583,488,33
2020-05-03,Arunachal Pradesh,1,1,0
2020-05-03,Assam,43,41,1
2020-05-03,Bihar,535,124,4
2020-05-03,Chandigarh,97,19,1
2020-05-03,Chhattisgarh,64,36,0
2020-05-03,Delhi,4842,1370,64
2020-05-03,Goa,7,7,0
2020-05-03,Gujarat,5431,1042,290
2020-05-03,Haryana,443,238,5
2020-05-03,Himachal Pradesh,40,34,2
2020-05-03,Jammu and Kashmir,702,287,8
2020-05-03,Jharkhand,117,27,3
2020-05-03,Karnataka,614,293,25
2020-05-03,Kerala,500,401,4
2020-05-03,Ladakh,42,17,0
2020-05-03,Madhya Pradesh,2849,798,157
2020-05-03,Maharashtra,12975,2115,548
2020-05-03,Manipur,2,2,0
2020-05-03,Meghalaya,12,10,1
2020-05-03,Mizoram,1,0,0
2020-05-03,Odisha,170,60,1
2020-05-03,Puducherry,9,6,0
2020-05-03,Punjab,1113,117,21
2020-05-03,Rajasthan,2887,1356,71
2020-05-03,Tamil Nadu,3023,1379,30
2020-05-03,Telangana,1093,554,29
2020-05-03,Tripura,19,2,0
